comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
golper moto ki mone thakbe sob? naki hariye jabe sob kichu??,0,0,0,0,0,0
Sotti tay.....,0,0,0,0,0,0
faltu,0,0,0,1,0,0
Eta poro,0,0,0,0,0,0
osadharon ekta golpo porlam..writter ar ID link powa jabe????,0,0,0,0,0,0
Darun,0,0,0,0,0,0
Aei pager prottek ta post amer vison pochonder. Khub valo chilo,0,0,0,0,0,0
Sobai nijeke niyei vabe keu Next generation niye vabena re vai ?? ,0,0,0,0,0,0
Jahid mamu France or e news hasa ni?,0,0,0,0,0,0
Amader aishob kichu e lagbena bhai.amader ase mohan chetona.shokal bikal 2 bela niyom kore chetona gule gule shobot khabo.tai to korsi desh shadin ar por taki,0,0,0,0,0,0
Amra fol vog na korlen amader vobissot projonmo humkir mukhe......,1,0,0,0,0,0
osthir????,0,0,0,0,0,0
Are vai onner gf k kn biye krlo,0,0,0,0,0,0
"Sbai etai bole,public kno kichu kore na.public er safety ki keo dibe?je public ei protest korbe,tar porer moment ei public rifat er jaigai jabe",1,0,0,0,0,0
Upnar leka ami sob somoy pori ... balo lage upnar leka... keep it up.. go ahead....... Thns,0,0,0,0,0,0
Dese kono Niyom nai ain nai ase shudu khomotar dapot Allah jenu oder bicar kore,1,0,0,0,0,0
amader deser ain sinkola na thaker karone aj ai porinoti nijer des boltew garna hoi,1,0,0,0,0,0
bah vai!,0,0,0,0,0,0
" osadaron ,, e jonnoi to extreme noise all time  best  ????????",0,0,0,0,0,0
eta ki shotti?0,0,0,0,0,0,0
 amra..... Ami tamim ??,0,0,0,0,0,0
 ami tamim category????,0,0,0,0,0,0
bes chilo,0,0,0,0,0,0
Khubi valo laglo???,0,0,0,0,0,0
Onk balo hoycha...... choker pani ase gacha bai.,0,0,0,0,0,0
sotti khov valo cilo.,0,0,0,0,0,0
Khubi valo laglo,0,0,0,0,0,0
best likcan..,0,0,0,0,0,0
Jotheshto shundor ekta golpo..ar golper chole onek shikkha,0,0,0,0,0,0
 bhai poren taile apnio,0,0,0,0,0,0
Ki ek obstha,0,0,0,0,0,0
awesome.. valo laglo,0,0,0,0,0,0
 vai ei post deikkha jdi kw inspired hoy......taile bki da r na koilm....,0,0,0,0,0,0
Best cilo bhai,0,0,0,0,0,0
"Valovasa roilo.bangladesher cricket ke jevave represent kora hoy football ke temon vabe represent kora hoyna,tai hoyto tara backdate ei theke jay.foot ball ke choriye dewa hok banglar protiti konay.emon soto soto jamal Bhuyan ache edeshe.",0,0,0,0,0,0
 ektu por,0,0,0,0,0,0
Bhai post ta boost kore den ??,0,0,0,0,0,0
dekh tor triangle love.. ,0,0,0,0,0,0
Kotha kinto sotti ??,0,0,0,0,0,0
"Akjon popular hola ,kicu jelous people ata tolerate korta para na ...  Kono na Kono khut bar korar try Kora ..   Ai jonnoi bola .. Bangladesher manush gunir kodor korta Jana na",0,0,0,0,0,0
vaidy.....mehjabin er natok dekho to.....kisuta kanna koro.... ????,0,0,0,0,0,0
kanna chole ashlo .sotti sobai jodi sobar pashe darato duniyata onek sundor hoto,0,0,0,0,0,0
amar pokkho theke lekhika ke ekta thanks deben....,0,0,0,0,0,0
Valo laglo?,0,0,0,0,0,0
Ki sob golpo..shudhu shudhu somoy noshto..,0,0,0,0,0,0
"he he.. esob post porle hasi ase,kew lekhe meyeder dukkher kotha,kew likhe cheleder dukkher kotha...",0,0,0,0,0,0
 keu jate hat na dey...??,0,0,0,0,0,0
dekh obostha...,0,0,0,0,0,0
ki ekta golpo,0,0,0,0,0,0
tmr future ???? vuri samlaia cholba ??,1,0,0,0,0,0
Attempt niso kono din ? Tomar to abar vorsha nai ! Naam o tou tomar sathe mile ?? ,0,0,0,0,0,0
 udvot,0,0,0,0,0,0
Kafi Rehan bhaia!!! Jaid Jim er future!,0,0,0,0,0,0
Kiso osamajik Kotha??????,1,0,0,0,0,0
Right.apnar sathe puro ek mot.amro 2 meya ache tader o ami a vabe daroan er moto pahara do jano kono janoar er chok na pore oder opr.,0,0,0,0,0,0
dekh??  ,0,0,0,0,0,0
500 kore 2ta normal print er 3pis basay pathai dis to...goriber shopping... ?,0,0,0,0,0,0
asole sariter dam 1500 ordhek lose khaice sure....ora jane 5000 blle 3000 hzr blbe r 3000 blle 1500 ,),0,0,0,0,0
akdom amar moto,0,0,0,0,0,0
 Colo akdin shopping a jai ????????,0,0,0,0,0,0
Emon perai amio achi kin2 ki korbo buje uthe parchina,0,0,0,0,0,0
Ami mone kori sontan jodi oporadh kore tar jonno maa baba 50% doshi,0,0,0,0,0,0
Allahr kosom vule tag korsi ,0,0,0,0,0,0
"Sei extreme noise jonhon thake suru tokhon thake  achi,, sob osadabor lekha porai jacche ,,, aj ow porlem,, wow    Thanks ",0,0,0,0,0,0
