comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
আরিপ বাই আমি আফনার অনেক ভরোও একযন পেন।  বাদশা বাই আপনার আরোও বেশি বেশি চবি ছাই। ভাংলার সেরা নায়ক। সলেমান কান পেইল আফনার কাচে বাই।  কেউ আবার এসব কথা সিরিয়াসলি নিয়েন না। সালায় একটা আস্তা মাদারচোদ।,1,1,1,0,1,1
মাদারিরপুত...তোর বীচি দিয়া কুতকুত খেলমু খানকিখোর,1,1,1,1,1,1
সকালে ঘুম থেকে উঠতে না উঠতেই শালা তোর বোকচোদমার্কা চেহারাটা সামনে পড়লো  দিলি তো বাইঞ্চোদ দিলি দিন টা নষ্ট কইরা,1,1,1,0,0,0
কি মাদারচুদ আমাকে টপ ফ্যান অফ দ্যা ওইক কেনো বানাইসো। আমি কি পাপ করছিলাম,1,1,1,0,0,0
নাসার এক বিঙ্গানী জানিয়েছেন যে তারা তোমার বিচি নিয়ে গবেষণা করবে। কারণ তাদের সন্দেহ তোমার বিচির মধ্যে নাকি আলাদা ব্রেইন আছে। তোমার বিচি গুলো নাসার লোকজন এসে কেটে নিয়ে যেতে পারে। তাই সাবধান। আর কোনোদিন এই রকম বৈঙ্গানিক ছবি পোস্ট দিও না।।😃😃,1,1,0,0,1,0
বুনো শুয়োর পুরা.,1,1,1,0,0,0
মাদারটেক আমি কেমনে তর টপ ফেন হইলাম।,1,1,1,0,0,0
পেইজ আগের মতো মজা পাই না!!,0,0,0,0,0,0
আগের মতো বিনোদন পাইনা,0,0,0,0,0,0
চশমা টা তর পাছার ভিতরে ভরে দেওয়া উচিত  সালা।।,1,1,1,0,1,0
তোর কল্লা এখনো নেয় নাই? মান্দার পো,1,1,1,0,0,0
মান্দিরপু তোরে দেখলে মাথা খারাপ হয়ে যায়,1,0,1,0,1,0
"গালিবাজ সংঘের লোকজন কই, ওকে কিছুক্ষণ গালি দাও প্লিজ।",1,0,0,0,0,0
কার সাথে ছবি তুইল্লা নিজেরে মটেল ভাবস,1,0,0,0,1,0
ঠেলাঠেলী করবেন না!  সবাই গালি দেওয়ার সুযোগ পাবে...😊,1,0,0,0,0,0
"আরিফ, তুই তো মডেল না... তুই নিজেকে মডেল কেন বলস?",1,0,0,0,1,0
বাহ্ মাদারী  বাহ্,1,1,0,0,1,0
ক্যারে নাক্কি,1,0,0,0,0,0
আলার পুয়ালা,1,0,0,0,1,0
কুত্তাসোদা 😡😡,1,1,1,0,1,0
হেডার ছবি।🥴,1,0,1,0,0,0
সাধারণ😃,0,0,0,0,0,0
হাংকীর পোলা,1,1,1,0,0,0
এ মাগি জুম্মার দিন পিক দিস কেন শুধু😠😠,1,1,1,0,1,0
সবাই তোমায় গালি দিলেও আমি দিব না। আয় মাদারী বুকে আয়।,1,0,1,0,0,1
শুভ কাজে যাইতেসিলাম।কুপা লাগাই দিলি মাদারের বাচ্চা।আর যামু না,1,1,1,0,0,0
বাইঞ্চোত!! শুক্রবাইরা দিনে তুই আবারো -_-,1,1,1,0,1,0
কল্লাকাটাড়া তোর কল্লা চোখে দেখে না??  নাইলে জনগন এর উচিৎ তোরে কল্লাকাটা বানাইয়া গনধোলাই দিয়া ফিনিশ কইরা দেওয়া,1,1,0,1,0,0
আসুদা 🥴,1,1,1,0,0,0
মান্দার পুত্র  তুই জানছ না যে আজকে শুক্কুর বার  এই পবিত্র দিনে তোরে কেম্নে গালি দিমু শ্লা 😡😠 তুই শুক্রবার ছাড়া সাপ্তাহের অনান্য দিনে পিক আপলোড করবি যাতে মনমতো গালি দিতে পারি,1,1,1,0,0,0
মাদার চোদে সব গালি ডিলেট কইরা দিছে এখন আর কমেন্ট পরতে ভালো লাগে না,1,1,1,0,0,0
কুত্তার বাচ্চা,1,0,1,0,0,0
জুকার কাক্কুর কাছে আবেদন😒হ্লার পোলা এতো রিয়্যাক্ট বানালি পুটকি রিয়্যাক্ট বানালি না কেন😡আরিপ্পার পিকে পুটকি রিয়্যাক্ট দিতে মন চায়😂কারো কাছে পুটকি রিয়্যাক্ট হপ্পে😆আরিপ্পা হু*গা স্রা দিতে দিতে শুকিয়ে গেছে😹 Abdul Mannan Rupom Kalam Yarian Sami Jahed Ahmed Ali Hossain Shuvo আপনাদের কাছে থাকলে একটু ধার দেন একটু পুটকি মেরে যাই এই কামলা ডার। মাদারি জুম্মার দিনেই পিক আপ চুদায়।,1,1,1,0,1,1
বাহ্ চুদিরভাই বাহ্,1,1,1,0,0,0
পুটকি দেখা যায় 🙄,1,0,1,0,0,0
